,INPUT 1- Gender,INPUT 2- Age,Current Studying,Percentage Marks,Foreign Languages Known,Dont want to be?,Hobbies,PARAM 1,PARAM 2,PARAM 3,PARAM 4,PARAM 5,PARAM 6,PARAM 7,PARAM 8,PARAM 9,PARAM 10,PARAM 11,PARAM 12,PARAM 13,PARAM 14,PARAM 15,PARAM 16,OUTPUT 1,OUTPUT 2,OUTPUT 3,OUTPUT 4,OUTPUT 5,OUTPUT 6,OUTPUT 7,OUTPUT 8,OUTPUT 9,OUTPUT 10,OUTPUT 11,OUTPUT 12,OUTPUT 13,OUTPUT 14,OUTPUT 15,OUTPUT 16,OUTPUT 17,OUTPUT 18,OUTPUT 19,OUTPUT 20,OUTPUT 35,OUTPUT 36,OUTPUT 37,OUTPUT 38,OUTPUT 39,OUTPUT 40,OUTPUT 41,OUTPUT 21,OUTPUT 22,OUTPUT 23,OUTPUT 24,OUTPUT 25,OUTPUT 26,OUTPUT 27,OUTPUT 28,OUTPUT 29,OUTPUT 30,OUTPUT 31,OUTPUT 32,OUTPUT 33,OUTPUT 34,OUTPUT 42,OUTPUT 43,OUTPUT 44,OUTPUT 45,OUTPUT 46,OUTPUT 47,OUTPUT 48,OUTPUT 49,OUTPUT 50,OUTPUT 51,OUTPUT 52,OUTPUT 53,OUTPUT 54,OUTPUT 55,OUTPUT 56,OUTPUT 57,,,,,,,,,,,,,,,
11,Female,41.4,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.41,0.15,0.3,0.18,0.22,0.37,0.07,0.04,0.15,0.15,0,0.26,0,0.22,0,0.3,0.06,0.09,0.26,,,,,,,,0.04,0.15,0,0.18,0.4,0,0.4,0.22,0.33,0.36,0,0,0.44,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Female,45.3,,,,,,88,33,88,44,85,60,80,30,30,30,70,45,0,0,0,0,0.11,0.47,0.03,0.22,0.12,0.2,0.28,0.17,0.1,0.42,0.19,0.28,0.29,0.11,0.24,0.29,0.22,0.23,0.06,0.23,,,,,,,,0.23,0.41,0.39,0.52,0.41,0.22,0.39,0.36,0.37,0.36,0.28,0.22,0.39,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Male,18.6,12th appeared,80%,mandarin,engineer,,100,44,11,88,71,20,60,50,20,30,80,90,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.46,0.63,0.49,0.36,0.48,0.36,0.32,0.34,0.31,0.52,0.39,0.37,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Male,18,12th Science appeared,-,,,"Reading, Badminton",0,55,66,11,57,80,160,0,20,60,90,90,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.24,0.11,0.22,0.38,0.25,0.36,0.34,0.41,0.44,0.22,0.16,0.34,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Male,15.1,appeared for 10th exam,not known yet,No,"Engineer, Doctor","Dance, acting, sports like basketball, socializing, travel",88,55,77,55,42,40,60,40,30,100,90,80,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,0.52,0.47,0.51,0.15,0.31,0.12,0.47,0.13,0.11,0.4,0.3,0.15,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Male,61.2,Sanskrit,80,,,,44,22,22,11,100,100,100,30,20,40,90,85,0,0,0,0,0.11,0.46,0.01,0.36,0.02,0.27,0.34,0.04,0.12,0.18,0.24,0.31,0.32,0.12,0.41,0.34,0.36,0.3,0.34,0.13,,,,,,,,0.25,0.13,0.18,0.2,0.65,0.35,0.64,0.14,0.66,0.66,0.25,0.19,0.65,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Male,15.9,Just completed SSC Board examinations for 10th grade,Waiting for the result,German,Doctor,"Drama , Football",44,55,77,55,85,40,60,30,40,70,80,35,0,0,0,0,0.21,0.32,,0.23,0.15,0.2,0.08,0.25,0.2,0.33,,0.36,0.13,,0.28,0.22,0.23,,,0.23,,,,0.14,,0.29,,0.39,0.39,0.38,0.41,0.21,0.4,0.19,0.5,0.22,0.18,0.44,0.21,0.2,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Male,16.9,Highschool,93% +,,,,44,22,88,11,14,100,80,40,20,100,80,85,0,0,0,0,0.14,0.5,0.14,0.37,0.18,0.27,0.34,0.1,0.13,0.26,0.24,0.22,0.31,0.12,0.26,0.16,0.37,0.29,0.19,0.21,,,,,,,,0.12,0.22,0.05,0.21,0.4,0.05,0.37,0.25,0.33,0.36,0.07,0.1,0.41,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Male,48.1,,,,,Woodwork,66,55,33,44,42,20,80,20,40,0,80,75,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,0.37,0.41,0.26,0.33,0.34,0.32,0.25,0.36,0.36,0.39,0.31,0.28,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Male,16.2,Class 11,96.4,,"Doctor, Lawyer.","Games(both video and physical), projects based on robotics.",55,66,11,33,71,40,180,10,0,90,90,60,0,0,0,0,0.3,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.36,0.36,0.36,,0.43,0.43,,,,0.19,,0.1,,0.49,0.33,0.39,0.26,0.4,0.44,0.41,0.26,0.49,0.48,0.42,0.31,0.37,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
